Client ID,Name,Legal Name,Start Date,Street #,Street Name,State,Zip,Lat,Lon,Accuracy,Category
55556,Shop 'n Save - Hill District,Ross's Market LLC,10/17/2013,1850,Centre Av,PA,15219,40.442146,-79.981719,9,Supermarket
201310220010,Sam's Club #4952,Sam's East Inc,1/25/2006,2000,Village Center Dr,PA,15084,40.565722,-79.803982,9,Supermarket
200601310002,Sam's Club #6575,Sam's East Inc,10/7/1996,249,Summit Park Dr,PA,15275,40.449585,-80.177954,9,Supermarket
55897,Sam's Club #6677,Sam's East Inc,2/7/1994,3621,Wm Penn Hwy,PA,15146,40.436431,-79.799629,9,Supermarket
51243,Sam's Club #6678,Sam's East Inc,5/25/2006,289,Mt Nebo Pointe Dr,PA,15237,40.534232,-80.067889,9,Supermarket
200606190003,Sam's Club #6679,Sam's East Inc,7/29/2004,2251,Century Dr,PA,15122,40.343793,-79.949018,9,Supermarket
200408050009,Save A Lot,Scozio Foods LLC,12/10/1998,4313,Walnut St,PA,15132,40.321825,-79.834567,9,Supermarket
57873,Giant Eagle Store #600,Scozio Supermarkets Inc,5/19/1994,2001,Lincoln Wa,PA,15131,40.337364,-79.805396,9,Supermarket
51792,Giant Eagle #641,Seven-Z Ent Inc,11/1/1986,1025,Washington Pike,PA,15017,40.367163,-80.110119,9,Supermarket
42635,Wilkinsburg Save A Lot,Shay & Tay Inc,2/21/2007,725,Ross St,PA,15221,40.442803,-79.884174,9,Supermarket
200702210003,Shop 'n Save / Brownsville Road,Shop N Save,6/18/1984,1119,Brownsville Rd,PA,15210,40.404781,-79.990531,8,Supermarket
38008,Shop 'n Save,Shop N' Save,9/13/2006,4313,Walnut St,PA,15132,40.321825,-79.834567,9,Supermarket
200609250001,Shop 'n Save / Heidelberg,Sorbara & Son LP,8/28/2006,2100,Washington Pi,PA,15106,40.173242,-80.24199,9,Supermarket
200608300002,Giant Eagle #1691,Super 8 Corp,10/7/1992,400,Northtowne Sq,PA,15044,40.636471,-79.941762,9,Supermarket
49211,Shop 'n Save,Super Dollar #62205,1/1/1970,4647,Buttermilk Hollow Rd,PA,15122,40.361016,-79.906553,9,Supermarket
35607,Target #2757,Target,8/24/2011,6231,Penn Av,PA,15206,40.460909,-79.921909,9,Supermarket
201106210018,Target #2787,Target Stores,2/7/2013,201,South Hills Village,PA,15241,40.340135,-80.054802,8,Supermarket
201302150004,Shop 'n Save / Russellton,Thomas Beter Inc,1/1/1980,908,Little Deer Creek Valley Rd,PA,15076,40.60823,-79.833146,9,Supermarket
25315,Trader Joe's #624,Trader Joe's,3/13/2015,9020,Covenant Av,PA,15237,40.570437,-80.022243,9,Supermarket
201503090008,Trader Joe's #638,Trader Joe's Co,10/16/2006,6343,Penn Ave,PA,15206,40.459303,-79.919178,9,Supermarket
200610180001,Trader Joe's #630,Trader Joe's East Inc,10/14/2011,1630,Washington Rd. Ste 1,PA,15228,40.351139,-80.051011,9,Supermarket
201110190002,Giant Eagle #695,Verona Foods Inc,8/29/1991,200,Allegheny River Bo,PA,15147,40.498933,-79.818468,3,Supermarket
47614,Wal-Mart Super Center #2281,Wal-Mart Stores Inc,8/7/2003,2351,Century Dr,PA,15122,40.341762,-79.946461,9,Supermarket
200308190003,Wal-Mart Super Center #2300,Wal-Mart Stores Inc,10/24/1996,250,Summit Park Dr,PA,15275,40.447712,-80.176111,9,Supermarket
55920,Wal-Mart Super Center #2588,Wal-Mart Stores Inc,1/25/1999,100,Wal-Mart Dr,PA,15137,40.38722,-79.8247,9,Supermarket
199901260002,Wal-Mart Super Center #3738,Wal-Mart Stores Inc,2/21/2008,4015,Freeport Rd,PA,15065,40.646955,-79.713092,9,Supermarket
200802270003,Wal-Mart Super Center #3838,Wal-Mart Stores Inc,1/19/2006,2010,Village Center Dr,PA,15084,40.564069,-79.804052,9,Supermarket
